海南传奇智力体育科技有限公司,传奇扑克,2017.6.6,Pre-A轮,1500万人民币,游戏游戏媒体及社区,不明确,海南海口,陈杰创始人,
深圳市酷开网络科技有限公司,酷开,2017.6.6,战略投资,3亿人民币,硬件消费电子,100-150人,广东深圳,王志国CEO,http://www.coocaa.com
神州优车（天津）有限公司,神州专车(神州优车),2017.6.6,战略投资,24亿人民币,汽车交通交通出行,500-1000人,天津滨海新区,邸烁首席战略官,http://www.10101111.com
广东翼卡车联网服务有限公司,翼卡车联网,2017.6.6,A轮,4000万人民币,汽车交通车联网及硬件,100-150人,广东佛山,殷建红总经理,
北京农田管家科技有限责任公司,农田管家,2017.6.7,A轮,5000万人民币,农业新型农业系统,30-50人,北京海淀区,余洋CEO,
无锡华云数据技术服务有限公司,华云数据,2017.6.7,F轮-上市前,15亿人民币,企业服务IT基础设施,不明确,江苏无锡,许广彬董事长兼CEO,
上海艺升信息科技有限公司,魔力伞,2017.6.7,天使轮,未透露,本地生活其他生活服务,15-30人,上海闵行区,沈巍巍CEO,
上海胜军投资管理有限公司,V+Fitness胜军投资,2017.6.7,Pre-A轮,数千万人民币,体育运动大众健身,15-30人,上海静安区,周婵董事长,
上海欣兆阳信息科技有限公司,Convertlab欣兆阳科技,2017.6.7,A轮,数千万人民币,企业服务销售营销,15-30人,上海徐汇区,高鹏CEO,
北京湃乐思教育科技有限公司,湃乐思教育,2017.6.7,天使轮,数百万人民币,教育其他教育,不明确,北京朝阳区,陈晨CEO,
苏州猿来如此信息科技有限公司,游心商旅,2017.6.7,天使轮,1000万人民币,旅游其他旅游服务,30-50人,江苏苏州,葛咏CEO张杨副总裁,
长沙家和网络科技有限公司,家核优居,2017.6.7,天使轮,460万人民币,硬件智能家居,15-30人,湖南长沙,方常正CEO,http://www.jiaheu.com/
人人助学（北京）科技有限公司,人人助学,2017.6.7,天使轮,1000万人民币,教育教育信息化,不明确,北京海淀区,张茜CEO兼总经理,
深圳市小橙堡文化传播有限公司,小橙堡,2017.6.7,A轮,1500万人民币,文化娱乐演艺,5人以下,广东深圳,田更生董事长,
子歌(上海)文化传播有限公司,VR小伴马,2017.6.7,Pre-A轮,数千万人民币,教育儿童早教,15-30人,上海普陀区,刘颀CEO,http://www.littlezebra.cn/
杭州昊晟科技有限公司,微米在线,2017.6.7,A轮,数千万人民币,金融理财,不明确,浙江杭州,何丽CEO兼总经理,
成都百鱼科技有限公司,百鱼科技,2017.6.8,A轮,3000万人民币,企业服务其他企业服务,不明确,四川成都,田源CEO,
北京录趣科技有限公司,录趣,2017.6.8,天使轮,300万人民币,教育教育信息化,不明确,北京海淀区,朱小刚CEO,
探探文化发展（北京）有限公司,探探APP,2017.6.8,D轮,7000万美元,社交网络陌生人交友,150-300人,北京朝阳区,王宇CEO潘莹COO杨二宝CTO,http://tantanapp.cn
江阴华新电器科技股份有限公司,华新科技,2017.6.8,新三板,未透露,硬件其他硬件服务,不明确,江苏无锡,郭正平董事长,
云南白药集团股份有限公司,云南白药,2017.6.8,战略投资,56亿人民币,医疗健康医疗综合服务,不明确,云南昆明,王明辉董事长,http://www.yunnanbaiyao.com.cn/index
杭州数梦工场科技有限公司,数梦工场,2017.6.8,A轮,7.5亿人民币,企业服务IT基础设施,50-100人,浙江杭州,王巍创始人吴敬传CEO,
上海驻云信息科技有限公司,架构云(驻云科技),2017.6.8,C轮,数千万人民币,企业服务行业信息化及解决方案,100-150人,上海浦东新区,吕黎星CEO肖凯COO蒋烁淼联合创始人,
杭州放牛网络科技有限公司,别样网,2017.6.8,种子轮,200万人民币,工具软件图像视频,不明确,浙江杭州,李超CEO兼总经理,
苏州拍拍淘信息有限公司北京分公司,淘拍拍,2017.6.8,A+轮,6480万人民币,本地生活婚礼婚庆,50-100人,北京海淀区,王生市场总监,
瑞斯康微电子(深圳)有限公司,Risecomm瑞斯康微电子,2017.6.8,F轮-上市前,6000万人民币,硬件芯片半导体,300-500人,广东深圳,,http://www.risecomm.com.cn/
福建朋友亿车网络科技有限公司,迈迈车,2017.6.9,A轮,2亿人民币,汽车交通二手车,300-500人,上海长宁区,江奇涛CEO,
天津火星文化有限公司,火星文化,2017.6.9,B轮,8000万人民币,文化娱乐视频,50-100人,北京朝阳区,李浩CEO,
北京科锐国际人力资源股份有限公司,科锐国际,2017.6.9,IPO上市,亿元及以上人民币,企业服务人力资源,2000人以上,北京朝阳区,高勇CEO,
深圳乐播科技有限公司,乐播投屏,2017.6.9,A轮,2000万人民币,工具软件图像视频,不明确,广东深圳,冯山董事长,http://www.hpplay.com.cn/
北京心中有数科学技术有限公司,KuWeather,2017.6.9,Pre-A轮,数千万人民币,本地生活其他生活服务,不明确,北京海淀区,金宏春董事长,
成都宽邦科技有限公司,BigQuant,2017.6.9,天使轮,100万人民币,金融投融资,不明确,四川成都,梁举CEO兼总经理,
上海擎库信息科技有限公司,闪殿PopupUnion,2017.6.9,天使轮,数百万人民币,企业服务销售营销,不明确,上海闵行区,董志国CEO,http://www.popupunion.cn/index.html
郑州时空隧道信息技术有限公司,UU跑腿,2017.6.9,A+轮,1亿人民币,物流同城配送,50-100人,河南郑州,乔松涛CEO,http://uupaotui.com/
宁波吉象塑胶科技股份有限公司,吉象科技,2017.6.9,新三板,未透露,硬件其他硬件服务,不明确,浙江宁波,洪连伟董事长兼总经理,
瑞斯康微电子(深圳)有限公司,Risecomm瑞斯康微电子,2017.6.9,IPO上市,亿元及以上港元,硬件芯片半导体,300-500人,广东深圳,,http://www.risecomm.com.cn/
北京优帆科技有限公司,青云QingCloud,2017.6.12,D轮,10.8亿人民币,企业服务IT基础设施,300-500人,北京朝阳区,黄允松联合创始人,
北京埃洛科技有限责任公司,抖包包,2017.6.12,天使轮,未透露,电子商务奢侈品,不明确,北京海淀区,程凯文CEO兼总经理,
成都明镜视觉科技有限公司,明镜科技,2017.6.12,A轮,数千万人民币,企业服务销售营销,不明确,四川成都,程正CEO兼总经理,
乐才（北京）科技有限公司,乐才,2017.6.12,战略投资,数百万人民币,企业服务人力资源,不明确,北京朝阳区,柯金财CEO,
上海驹旗网络科技有限公司,摩天轮票务(牛魔王),2017.6.12,B轮,1500万美元,文化娱乐演艺,150-300人,上海徐汇区,崔佳创始人,
小环科技（深圳）有限公司,Smacircle,2017.6.12,天使轮,500万人民币,汽车交通交通出行,不明确,广东深圳,杨高赟董事长,
广州橙行智动汽车科技有限公司,小鹏汽车,2017.6.12,B轮,22亿人民币,汽车交通车联网及硬件,50-100人,广东广州,夏珩联合创始人何小鹏联合创始人,
福建冻品在线网络科技有限公司,冻品在线,2017.6.12,战略投资,5000万人民币,本地生活美食餐饮,50-100人,福建福州,林志勇CEO,
北京美嘉易享体育文化发展有限公司,美嘉体育,2017.6.12,Pre-A轮,1500万人民币,体育运动综合体育,不明确,北京通州区,毛雅楠CEO兼总经理,
海宁松鼠影业有限公司,松鼠影业,2017.6.12,天使轮,1200万人民币,文化娱乐影视,不明确,浙江嘉兴,张帆CEO兼总经理,
深圳市乐途宝网络科技有限公司,PonyCar马上用车,2017.6.12,B轮,未透露,汽车交通其他汽车服务,不明确,广东深圳,刘逸洵CEO,
深圳传世般若科技有限公司,传世般若,2017.6.12,Pre-A轮,数千万人民币,医疗健康医药电商,10-15人,广东深圳,杨心溥CEO,
富途证券国际（香港）有限公司,富途证券-富途牛牛,2017.6.12,C轮,1.46亿美元,金融股票,150-300人,广东深圳,李华创始人邬必伟CEO张杰董事王军VPsteven罗岱产品运营,
上海兴格文化传媒有限公司,兴格传媒,2017.6.13,B轮,5亿人民币,文化娱乐综合文娱,不明确,上海崇明县,杨文红董事长,
湖南中联保险经纪股份有限公司,中联保险,2017.6.13,新三板,未透露,金融保险,不明确,湖南长沙,陈必洪董事长兼总经理,
上海智驾电子科技有限公司,智驾科技,2017.6.13,Pre-A轮,数千万人民币,汽车交通其他汽车服务,不明确,上海普陀区,周圣砚CEO,
上海翰鑫信息科技有限公司,百付天下-上海翰鑫,2017.6.13,战略投资,2000万人民币,金融支付,5人以下,上海浦东新区,乔延清总裁肖勇COO,http://www.bypay.cn/
上海合勋车融资产管理有限公司,合勋车融,2017.6.13,战略投资,4000万人民币,金融借贷,不明确,上海浦东新区,吴明越董事长,
上海暖水信息技术有限公司,暖水信息,2017.6.13,战略投资,1500万人民币,金融信用及征信,不明确,上海浦东新区,敖翔CEO,
上海弘积信息科技有限公司,弘积科技,2017.6.13,A轮,3000万人民币,企业服务行业信息化及解决方案,不明确,上海浦东新区,王立军总经理,
香飘飘食品股份有限公司,香飘飘,2017.6.13,IPO上市,未透露,电子商务其他电商服务,不明确,浙江湖州,蒋建琪董事长,
北京平凯星辰科技发展有限公司,PingCAP平凯星辰,2017.6.13,B轮,1500万美元,企业服务IT基础设施,30-50人,北京海淀区,刘奇CEO黄东旭CTO,
深圳新闻网传媒股份有限公司,深圳新闻网,2017.6.13,新三板,未透露,文化娱乐媒体及阅读,不明确,广东深圳,吉书龙董事长,http://www.sznews.com/
温州温视文化传媒有限公司,畅购GO,2017.6.13,A轮,亿元及以上人民币,物流跨境物流,不明确,浙江温州,李志坚CEO,
北京山水视窗文化传播有限公司,去钓鱼,2017.6.13,A轮,数千万人民币,文化娱乐其他文娱服务,不明确,北京海淀区,朱文生创始人,
共舞体育科技（北京）有限公司,共舞体育,2017.6.13,种子轮,数百万人民币,本地生活其他生活服务,不明确,北京东城区,黄硕经理,
北京魅动力教育咨询有限公司,坏男孩学院(魅动力教育),2017.6.14,B轮,数千万人民币,社交网络婚恋交友,300-500人,北京朝阳区,巫家民创始人,
杭州维时科技有限公司,闪修侠,2017.6.14,A轮,数千万人民币,本地生活维修服务,30-50人,浙江杭州,王源创始人,http://www.weadoc.com
成都精诚以诺科技股份有限公司,精诚以诺,2017.6.14,新三板,未透露,企业服务综合企业服务,不明确,四川成都,胡治国董事长兼总经理,http://www.cdjcgroups.com/
北京大艺博展文化传播有限公司,艺术小红花,2017.6.14,天使轮,1000万人民币,文化娱乐艺术,10-15人,北京海淀区,张旭创始人,
