 货运司机,B2驾驶员包吃住月入5千 ,  招2人 ,上海松江洞泾,上海俊中快递服务有限公司,交通/运输/物流,1000人以上,我司属于中通快递洞泾分公司，地址位于松江区洞泾镇蔡家浜路598号，直接手机导航就到，现有员工40人，因业务需要诚招以下人员1、年龄20-45岁，要求c1驾驶证，1年以上实际驾驶经验，熟悉航华七宝航华本地路况。2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3.为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。4.公司包吃住交商业保险工作时间：8-10个小时，要求熟悉航华地形，公司提供吃住，基本工资2200元+派件1.5元/件+工龄奖（100元）+满勤奖（200元）+大货补助 月工资不低于5000元。,中通现有员工16万多名，转运中心72个，服务网点10000多家，运输派送车辆4万多辆。2013年，成功跨入“千万俱乐部”，2014年日最高快件量达到2420万件，2014年营业收入超200亿元。改革创新：中通在行业内率先开通跨省际网络班车，率先实施并完善有偿派送机制，率先优化二级中转费结算体系，率先推出全国网络股份制，率先成立网络互助会、成立中通大家园并实施“亲情1+1”福利政策。在行业里，中通起步虽晚但发展最快，是用最短时间、实现日最高业务量超1000万件、2000万件的企业。
 货运司机,5k+驾驶员 ,  招2人 ,上海嘉定外冈,上海贯联信息科技有限公司,互联网/电子商务+快速消费品(食品/饮料等),50-99人,"岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、C1本,有货运资格证优先考虑3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：",由于公司新成立需要大量的人才，真诚希望有志于创业的优秀人才加入我们的团队，公司招聘岗位的薪资待遇肯定会不断调整。如果你够自信、有激情、有智慧、能吃苦，这里将是你工作与事业的平台，一定会收获你的职业理想与价值。
 货运司机,挂车货运司机 ,  招10人 ,上海青浦,广东新邦物流有限公司,交通/运输/物流,1000人以上,岗位职责：1.负责公司货物运输；2.负责公司货物监装监卸；3.车辆检查、保养等工作；4.领导交代的其他任务。任职资格：1.初中以上学历，适应出差；2.持A2以上驾照；3.5年以上驾龄，持有道路运输从业资格证，无不良嗜好及重大事故记录；4.熟悉珠三角、长三角及全国主要高速路线。工作时间：,新邦物流有限公司是一家集公路运输、航空货运代理、城际配送于一体的跨区域、网络型、信息化、并具有供应链管理能力的国家AAAAA级综合型物流企业。新邦物流旗下拥有10家全资子公司，500多家营业网点，员工近8000人，拥有和整合各种运输车辆700多台，物流设备300多套，仓库、分拨场地11万多平方米，日吞吐能力4500余吨。公司与国内外30多万家企业建立合作关系，网络覆盖全国二级以上城市248个、三级以上城市725个，在全国50多个大中城市开通专、快线长途零担与整车业务，并在珠江三角洲与长江三角洲区域内开展城际配送业务。新邦物流拥有自主知识产权的物流信息系统，该系统具备运输管理、车辆管理、客户信息交互平台、在线跟踪等功能，实现了自动配载、电子分拨、公司到客户和客户到公司的数据双向实时更新与交换，满足了全天24小时不间断信息提供服务。运用PDA条码扫描技术对所有进出港货物进行电子数据管理，关联GPS全球定位系统对运输车辆进行24小时全程跟踪，货物在途信息尽在掌握，引领物流行业信息化进程。今天，新邦物流将一如既往地以稳定、可靠、安全的运营系统，科学的资源整合，先进的管理技术，为各类企业提供值得信赖的物流服务。以强大的网络、优质的服务、高效的运作，为中国物流行业做出更大的努力和贡献。
 货运司机,C1以上货运司机 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,能源(电力/水利/矿产),1000人以上,随着互联网大力发展，和政府号召，针对污染，大力发展新能源货运营运车辆，不限户籍，驾龄1年以上，公司主打城配业务，每天八个小时固定收入，350-400元，额外时间，可以拉货，58速运，搬家业务，月收入综合到手纯利润1.5-2万左右，主要营运车型南京依维柯纯电动手动沪上首家新能源物流车以租代购代业务车融资租赁。以租代购最佳方案如下36期 首付5万 月供4700元，含一年保险三年牌照使用，24期 首付5.5万 月供6250元，含一年保险两年牌照使用，全款 18万 含一年保险一年牌照使用，注； 以上方案价格均含税，合同到期后即可转籍过户，（过户费自理）：如无需过户继续营运的，营运管理费10000每年，1000每月，公司提供货源保障的同时的司机还可以做， 配货宝 送快递 跑物流 搬家！ 多劳多得轻松过万。,汽车租赁，机动车驾驶服务，货物运输代理，消防设备，汽车美容用品，汽车饰品，汽车用品，汽车配件的销售，从事汽车科技专业领域内技术开发、技术咨询、技术服务。
 货运司机,物流司机 ,  招5人 ,上海浦东,上海普朗广告有限公司,交通/运输/物流+广告/创意+公关/市场推广/会展,50-99人,"包住，有饭补！月薪3500-5500元，具体面谈,转正另议！1、有驾证，B2等级以上；2、认真完成提货、送货任务，服从派车调度人员指挥；3、 坚持行车安全检查，每次行车前检查车辆，发现问题及时排除，确保车辆运行；4、 安全驾驶，正确执行驾驶操作规程，听从交通管理人员的指挥，行车时集中精力驾驶，严禁酒后开车，不开“英雄车”、“赌气车”；5、每次出车回来后，如实填写行车记录，向派车主管简要汇报出车情况；6、车辆用毕后，车辆停泊在指定位置，锁好方向盘、门窗等；7、做好车辆的维护、保养工作，保持车辆常年整洁和车况良好；8、认真填写车辆档安，对车辆事故、违章、损坏等异常情况及时汇报，写好情况汇报。对车辆运行里程和耗油情况进行统计分析，提出报告和降低成本的确良建议；9、确保良好的休息、足够的睡眠，以充沛的精力和体力保证安全行车；10、应有敬业精神，熟悉交通法规、江浙沪路况和车辆性能，不断提高自己的技术水平和积累行车经验。","德国普朗展览(上海普朗广告有限公司)是致力于全球展览的设计、制作和搭建的专业性展览公司,创立于全球展会的中心–德国杜塞尔多夫。在40多年的发展中，秉承与世界及中国知名企业、品牌共成长的发展策略,整合全球资源，为客户提供全球一站式的服务理念。公司在德国总部拥有一批高素质的员工及各专业的部门外,并且在德国、意大利、法国、中国、美国、巴西、迪拜等主要中心城市设有30个分公司。做为全球专业展览服务团队，普朗先后获得汉诺威/米兰官方指定展览搭建、SNEC指定搭建商、CAS指定搭建商、中国国际塑料博览会主场搭建商、ISO9001国际质量体系认证等荣誉。普朗为客户在全球各处的品牌推广、展览、活动、会议、广告，提供最高标准的一致性品牌呈现。我们遍布全球的服务网络可提供完善的策划，设计、搭建。服务客户：马自达汽车、汽车、福田汽车、中粮、伊利、普利斯通、朗盛、巴斯夫、双钱集团等众多国内外知名品牌www.messeperlon.com"
 货运司机,营运Y牌+以租代购+全款 ,  招30人 ,上海徐汇,上海妙玛汽车租赁有限公司,交通/运输/物流+汽车/摩托车,100-499人,月收入平均8000--12000左右，公司免费开通去哪儿网，指派接机送机单，提升客户收入。租车模式： 1、公司提供荣威、bi ya di 等车型；全部是营运牌照，有营运资格证；2、车辆统一押金1万，租金：e550月租金6500-7000，除此之外所得利润都是驾驶员自己的；公司全上营运车牌，合同期内，保险，保养，正常维修，运管，路政全部公司承担。。任职资格： 年龄22-55岁，C1本或以上，3年以上实际驾驶经验，驾驶技术娴熟。 面试时请带好身份证原件及驾驶证原件。面试时间为上午9：00到下午5:00，请提前电话联系以便安排面试最新特价车：E550标配公里数在0左右，全车24年期，首付5.3万月供7000，包含一年保险2年牌照使用36年期，首付3.7万月供5800，包含一年保险3年牌照使用特价车只有50台，要的速度。还有其他以租代购方案可见面详谈！,上海妙玛汽车租赁有限公司上海妙玛汽车租赁有限公司为注册在上海国际汽车城的一家独资公司，为电商租车领域龙头企业。公司现任总经理——于慧。于慧：中华人民共和国共产党员。于2013年6月毕业于复旦大学并取得“公共管理学”硕士学位。于慧对待工作认真负责，善于沟通、协调组织能力。活泼开朗、乐观上进、有爱心并善于施教。由于慧领导的“上海妙玛汽车”是以国内外企事业单位、中外宾客、港澳台同胞为主要服务对象的汽车租赁公司。作为一家颇具规模的企业，“上海妙玛”营运资质过硬，自成立以来，凭借劳斯莱斯、宝马、奔驰等高端轿车以及各种中高端轿车和客运大巴等商务、客用车型的租赁服务，”赢得了上海汽车服务行业车辆配备最齐全、服务配套最完善的汽车服务公司美誉。上海妙玛汽车秉承“一流的车辆、一流的服务”的理念，根据客户的实际需求，提供高素质、高技能的专业司机。公司管理部门由行业资深管理人员组成，全体员工用真心、诚心、用心的服务，赢得了中外宾客们的一致肯定和赞誉。公司以现代企业管理模式，本着“客户至上”的原则，用“安全、快捷、优质”的服务，为广大客户提供质优、价廉、安心的服务。“上海妙玛”的车辆让人感到舒适、安全、放心，上海妙玛员工的服务令人感到热情、周到、温馨。只需一个电话我们就会出现在您面前，人性化的服务将免去您所有的繁杂手续，我们竭诚希望以最周到的服务为您的工作和出行提供帮助。上海妙玛汽车公现有车辆613台，驾驶员500名，车辆分为经济型、舒适型、商务型、豪华型！通过自身经验的不断积累，规模不断壮大，公司为复旦大学、威立雅（上海）、联合利华、腾飞集团等500强客户提供优质服务。目前正与中国最大在线用车服务商《易到用车》合作。《易到用车》是一家运用现代网络信息技术应用于商务活动和日常生活中的综合性服务平台。此举实现了“上海妙玛”持续、快速、平稳的发展，不断推动公司品牌价值的提升。
 货运司机,景联路德邦5到8千快递员 ,  招5人 ,上海闵行马桥,德邦（上海）运输有限公司（德邦物流）,交通/运输/物流,1000人以上,=========【岗位要求】=========1.初中及以上学历，人品端正，有大型快递公司工作经验者优先录用。2.自备交通工具优先录用，市区可配电瓶车。3.男女不限，可接收残疾人应聘。4.工作时间：9-10小时。=========【薪酬福利】=========1.工资：5000-8000元左右，计件工资，多劳多得上不封顶，月休6-7天；2.公司协助解决住宿问题，并每月提供食宿补贴，自带四轮车可提供油补；3.员工福利：按国家规定缴纳五险一金，享受带薪年假、公司互助基金、中秋月饼到家、入职满一年每月亲情1+1（公司补贴100元，员工自己提供100元，每月固定200元打入父母帐户）；4.各类补贴：话费补贴、全勤奖、高提成、工龄奖金、夏季高温补贴，特殊技能补贴。=========【岗位职责】=========1.在规定时效内完成收派，保证客户快件不受损失。2.负责及时回收散单货款和月结款项，并在规定时间内如数上缴财务入帐。3.负责开发和维护客户，宣传公司相关业务。=========【联系方式】=========1、有意向者可直接在58上投递简历，我们将在一个工作日内给与答复。2、面试地址：可在面试时间直接到以下面试地址就近面试。松江总部面试点：上海松江区松蒸公路1289号1幢二楼德邦人事部（普洛斯松江物流园内）乘车路线：地铁九号线至醉白池站，在松汇路人民南路站乘坐松江28路至民华村，向前500米即到面试时间：周一至周六上午9:00-16:00闵行面试地点：上海闵行区莘朱路783号乘车路线：地铁1号线至莘庄站下，从南广场进入莘朱路，过沪金高速天桥，往前100米即到面试时间：周一至周六上午10:00-15:003、工作地址：参考个人能力和求职意向地就近安排=========【备注】=========1.德邦欢迎离职员工重返公司；2.此招聘为公司直招，德邦物流股份有限公司及其下属分公司在招聘过程中不收取任何费用、押金等，敬请各位求职者知晓，以免受骗损失财物。,德邦致力成为以客户为中心，覆盖快递、快运、整车、仓储与供应链、跨境、金融等多元业务的综合性物流供应商。我们凭借坚实的网络基础、强大的人才储备、深刻的市场洞悉，为跨行业的客户创造多元、灵活、高效的物流选择，让物流赋予企业更大的商业价值，赋予消费者更卓越的体验。德邦始终紧随客户需求而持续创新，坚持自营门店与事业合伙人相结合的网络拓展模式，搭建优选线路，优化运力成本，为客户提供快速高效、便捷及时、安全可靠的服务。截止2017年3月，公司已开设10000多家标准化的门店，服务网络覆盖全国34个省级行政区，全国转运中心总面积超过130万平方米。目前，德邦正从国际快递、跨境电商、国际货代三大方向切入跨境市场，已开通韩国、日本、泰国、新加坡、马来西亚、越南等多条国际线路，全球员工人数超过11万名。
 货运司机,急招货车司机包吃住 ,  招20人 ,上海松江,凯胜（上海）电脑有限公司,中介/专业服务,1000人以上,凯胜（上海）电脑有限公司凯胜电脑成立于1988年，是目前全球第一大笔记型电脑研发设计制造公司。以领先群伦的技术与坚强优越的研发团队，屹立於高科技市场领导者地位;除了在笔记型电脑的领域中维持高成长、高品质与高评价之外，更将触角延伸到企业网路系统、家庭娱乐产品、行动通讯产品、车用电子产品及数码家庭产品等市场，积极拓展产业整合布局。2006年凯胜集团迈入全新里程碑，卓越成就荣登美国「财富杂志(Fortune)」评定为全球五百大企业。展望未来，广达秉持一贯的守成、深耕与持续前进之外，更要从OEM、ODM厂商，转向为SSDMM(System Solution Design Manufacturing andMove-系统解决方案之研发、制造及物流平台)，以此策略开拓「凯胜新蓝海」，再创企业颠峰!上海芯越劳务派遣有限公司(该职位由本人力资源机构代招)达丰电脑成立于1988年，是目前全球第一大笔记型电脑研发设计制造公司。以领先群伦的技术与坚强优越的研发团队，屹立於高科技市场领导者地位;除了在笔记型电脑的领域中维持高成长、高品质与高评价之外，更将触角延伸到企业网路系统、家庭娱乐产品、行动通讯产品、车用电子产品及数码家庭产品等市场，积极拓展产业整合布局。.2006年广达电脑迈入全新里程碑，卓越成就荣登美国「财富杂志(Fortune)」评定为全球五百大企业。展望未来，广达秉持一贯的守成、深耕与持续前进之外，更要从OEM、ODM厂商，转向为SSDMM(SystemSolutionDesignManufacturingandMove-系统解决方案之研发、制造及物流平台)，以此策略开拓「广达新蓝海」，再创企业颠峰!,凯胜电脑成立于1988年，是目前全球第一大笔记型电脑研发设计制造公司。以领先群伦的技术与坚强优越的研发团队，屹立於高科技市场领导者地位;除了在笔记型电脑的领域中维持高成长、高品质与高评价之外，更将触角延伸到企业网路系统、家庭娱乐产品、行动通讯产品、车用电子产品及数码家庭产品等市场，积极拓展产业整合布局 。2006年凯胜集团迈入全新里程碑，卓越成就荣登美国「财富杂志(Fortune)」评定为全球五百大企业。展望未来，广达秉持一贯的守成、深耕与持续前进之外，更要从OEM、ODM厂商，转向为SSDMM (System Solution Design Manufacturing and Move-系统解决方案之研发、制造及物流平台)，以此策略开拓「凯胜新蓝海」，再创企业颠峰!达丰电脑成立于1988年，是目前全球第一大笔记型电脑研发设计制造公司。以领先群伦的技术与坚强优越的研发团队，屹立於高科技市场领导者地位;除了在笔记型电脑的领域中维持高成长、高品质与高评价之外，更将触角延伸到企业网路系统、家庭娱乐产品、行动通讯产品、车用电子产品及数码家庭产品等市场，积极拓展产业整合布局。.2006年广达电脑迈入全新里程碑，卓越成就荣登美国「财富杂志(Fortune)」评定为全球五百大企业。展望未来，广达秉持一贯的守成、深耕与持续前进之外，更要从OEM、ODM厂商，转向为SSDMM(SystemSolutionDesignManufacturingandMove-系统解决方案之研发、制造及物流平台)，以此策略开拓「广达新蓝海」，再创企业颠峰!
 货运司机,高薪急聘长途司机 ,  招10人 ,上海青浦徐泾,北京华欣物流有限公司,交通/运输/物流,500-999人,岗位职责：1.负责公司的货物运送装卸（以药品为主）；2.负责公司车辆保养，维修和清洁工作；任职资格：1.年龄：22-40岁，B2本以上，三年以上实际长途驾驶经验，有货运资格证，至少能开7米6厢货；2.无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3.为人踏实，有责任心，服务意识，能适应加班。福利待遇：五险 年终奖金  包住宿  有餐补,华欣物流总部注册在北京，注册资本3000万元，目前在北京/广州/上海设有分公司，同时在全国20余个城市设有办事处。主营业务专注于医药物流领域，98%以上客户为医药生产企业及医药分销企业。华欣物流具备丰富发医药冷链物流操作经验，为客户提供7*24小时服务。具备专业的冷链运输车队，具备冷链包装及温控解决方案的能力，公司资信良好，财务会计制度健全，多次被客户评为诚信合作伙伴及优秀承运商。提供航空、公路、铁路运输及多式联运，质量及信息管理，冷链包装及温控管理，冷藏、保温车专线运输，物流咨询和方案设计等。华欣物流是药品物流服务规范试点企业之一，药品冷链物流运作规范达标企业之一，是医药电商物流最佳服务商之一医药物流行业十大杰出企业之一。公司愿景：高端及个性化综合物流服务的领导者经营理念：随需应变，不断超越品质政策：顾客至上，可靠高效，服务领先，诚信守诺操作方针：正常流程安排严谨顺畅，异常问题处理及时有效
 货运司机,司机5千到7千+交金 ,  招10人 ,上海南汇康桥,两鲜商贸（上海）有限公司,互联网/电子商务,100-499人,岗位职责：-按照公司要求，安全、快捷、准确的完成日常商品配送工作，确保客户商品不受损和公司利益不受侵害；-负责及时回收商品货款，并在规定时间内如数上缴财务入账；-按规范操作系统和工具设备（手机），保证各项信息规范、及时和准确，确保客户信息安全；-配合部门主管完成其它相关工作作工作时间。任职资格：-年龄要求35岁以下；-上海当地开车至少1年以上；-熟悉车辆、车况（依维柯、全顺等）；-诚实可靠，家住浦东康桥、周浦附近优先。面试地址：浦东新区康桥东路1号6栋楼3楼；工作时间：做六休一；符合要求可在周一至周五（9:00~17:00）面试。你想每天品尝不同的美食嘛？你想每月和同事一起尝“鲜”，参与到新品的发布过程中嘛？你想在办公室大显身手一展厨艺嘛？快加入FreshFresh体现你的吃货本色吧~在FreshFresh，你可以：不断品尝不同的美食；参与到新品发布的过程，直接抒发对食材的感觉；在办公室一展厨艺，让锅碗瓢盆在你手中飞舞，秀出你的拿手菜；不会做菜没关系，我们有不同菜系的“厨师”，品尝他们的招牌菜；不定期的火鸡可以加餐，细嫩的鸡肉配上蔓越莓酱或土豆酱，想想就让人流口水；偶尔的下午茶，配上午后的日光浴，为你下午的工作带来动力。轻松的环境，美食的王国，爱吃的你怎么可以错过这个机会！,FreshFresh（“两鲜网超”  www.FreshFresh.com）成立于2013年，是一家专注于服务精选新鲜食材的网上超市。FreshFresh精选自世界各地的水果及各类生鲜食材为客户提供新鲜、优质、美味和安全的全新食用体验。我们做的事很简单：让我们的会员用极低的价格吃到全球生鲜!FreshFresh推崇自然、有机、无污染的健康农产品，并与多个拥有相同梦想的农场和基地深度合作，全程参与从农场到餐桌的检测及冷链运输流程中的每一个细节，确保我们售出的每一份产品都是最新鲜、有保障的。FreshFresh的创始团队是由世界各地、各个领域的顶尖人才组成，多元化的团队和鼓励创新、共同成长的公司文化让FreshFresh的每位成员在工作中充满乐趣和活力。FreshFresh喜欢平等、轻松、互助、信任的工作氛围，享受新鲜美食、享受健康生活、享受每一天的工作是所有FreshFresh成员的共同愿景。
 货运司机,司机 ,  招1人 ,上海徐汇徐家汇,瑟美（上海）医疗投资有限公司,生物/制药/医疗器械,1-49人,岗位职责：1.帮助公司搬运大型仪器设备2.帮助公司运送仪器设备任职资格：1.有三年以上驾驶经验，会开手动挡2.身强体壮，吃苦耐劳3.能适应短期出差，有驾照者优先考虑工作时间：做六休一,瑟美（上海）医疗投资有限公司是专业从事进口类医疗仪器设备，美容设备、进口类化妆品等一级代理公司，荣获ISO9001:2014国际标准认证。公司主要服务于整形医院、高端美容会所、大型美容连锁机构。全国合作服务商超过1500家以上。公司深明创新的重要性，透过开拓以及对美容潮流的敏锐触角，开拓医学美容市场，在整形医院中大获好评。为保持对市场的前瞻性，我们经常与海外同行开会交流，更到世界各地研究调研实地参观，把更多更好的医疗美容概念实践与市场上，令广大女性真正的体验见效快，安全和持久美丽的不老容颜。
