 货运司机,58速运招收带车拉货司机 ,  招999人 ,上海崇明,天津五八到家生活服务有限公司（58到家）,互联网/电子商务,1000人以上
 货运司机,诚聘司机+5险1金 ,  招2人 ,上海闵行,美珍香休闲食品（上海）有限公司,批发/零售+快速消费品(食品/饮料等),500-999人
 货运司机,诚招东风小微面驾驶员 ,  招30人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,招c照驾驶员包吃经验不限 ,  招3人 ,上海青浦华新镇,苏州国业达货运代理有限公司,交通/运输/物流,100-499人
 货运司机,诚招新能源货运合作司机 ,  招20人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,急招货运驾驶员 ,  招3人 ,上海青浦徐泾,上海合久成越国际货运代理有限公司,交通/运输/物流,50-99人
 货运司机,B2司机+资格证6K ,  招3人 ,上海松江九亭,上海滨翔物流有限公司,交通/运输/物流,1000人以上
 货运司机,6K招骑手送外卖 ,  招20人 ,上海长宁,拉扎斯网络科技（上海）有限公司（饿了么）,互联网/电子商务,1000人以上
 货运司机,货运司机 ,  招3人 ,上海松江新桥,上海祺霖家居用品有限公司（欧派家居）,家居/室内设计/装潢,100-499人
 货运司机,招新能源大通合作司机 ,  招50人 ,上海宝山水产路,上海荣嘉汽车租赁有限公司,租赁服务,1000人以上
 货运司机,司机+年纪20到30岁 ,  招1人 ,上海长宁,上海蒙新食品有限公司,快速消费品(食品/饮料等),1-49人
 货运司机,公司提供货源招货运司机 ,  招10人 ,上海浦东,上海荣嘉汽车租赁有限公司,租赁服务,500-999人
 货运司机,L急招物流驾驶员月薪1万 ,  招8人 ,上海宝山,上海快递公司直招中心,娱乐休闲/餐饮/服务+交通/运输/物流+汽车/摩托车,1000人以上
 货运司机,高薪诚聘危险品驾驶员 ,  招50人 ,上海闵行,上海华鑫油气物流有限公司,交通/运输/物流,100-499人
 货运司机,新能源招大通合作司机 ,  招15人 ,上海青浦,上海赤译汽车租赁有限公司,租赁服务,50-99人
 货运司机,德邦货运司机（松江） ,  招20人 ,上海松江,上海德邦物流有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,新能源货运合作司机货源稳 ,  招20人 ,上海浦东,上海佳画汽车租赁有限公司,交通/运输/物流,50-99人
